id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;1792;88.785027072;88.785027072;88.785027072
3;Convolutional;36928;1894.080577536;1894.080577536;1894.080577536
4;mpool;;;;
5;Convolutional;73856;947.040288768;947.040288768;947.040288768
6;Convolutional;147584;1894.080577536;1894.080577536;1894.080577536
7;mpool;;;;
8;Convolutional;295168;947.040288768;947.040288768;947.040288768
9;Convolutional;590080;1894.080577536;1894.080577536;1894.080577536
10;Convolutional;590080;1894.080577536;1894.080577536;1894.080577536
11;mpool;;;;
12;Convolutional;1180160;947.040288768;947.040288768;947.040288768
13;Convolutional;2359808;1894.080577536;1894.080577536;1894.080577536
14;Convolutional;2359808;1894.080577536;1894.080577536;1894.080577536
15;mpool;;;;
16;Convolutional;2359808;473.520144384;473.520144384;473.520144384
17;Convolutional;2359808;473.520144384;473.520144384;473.520144384
18;Convolutional;2359808;473.520144384;473.520144384;473.520144384
19;mpool;;;;
20;FC;102764544;105.226698752;17.179869184;105.226698752
21;FC;16781312;17.179869184;4.198498304;17.179869184
22;FC;4101097;4.198498304;0;4.198498304
