id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;23296;4.4977152;74.604085248;70.014185472
3;mpool;;;;
4;Convolutional;307392;14.3327232;14.3327232;14.3327232
5;mpool;;;;
6;Convolutional;663936;7.176978432;7.176978432;7.176978432
7;Convolutional;1327488;14.353956864;14.353956864;14.353956864
8;Convolutional;884992;9.569304576;9.569304576;9.569304576
9;mpool;;;;
10;FC;37752832;2.415919104;1.073741824;2.415919104
11;FC;16781312;1.073741824;0.262406144;1.073741824
12;FC;4101097;0.262406144;0;0.262406144
