id;type;nneurons;fw;bw_cg;bp_wu
1;Input;;;;
2;Convolutional;9472;241.692573696;483.385147392;960.306020352
3;mpool;;;;
4;Convolutional;16640;105.226698752;210.453397504;105.226698752
5;Convolutional;16448;105.226698752;105.226698752;105.226698752
6;Convolutional;36928;236.760072192;236.760072192;236.760072192
7;Convolutional;16640;105.226698752;105.226698752;105.226698752
8;Convolutional;16448;105.226698752;105.226698752;105.226698752
9;Convolutional;36928;236.760072192;236.760072192;236.760072192
10;Convolutional;16640;105.226698752;105.226698752;105.226698752
11;Convolutional;16448;105.226698752;105.226698752;105.226698752
12;Convolutional;36928;236.760072192;236.760072192;236.760072192
13;Convolutional;16640;105.226698752;105.226698752;105.226698752
14;Convolutional;131584;210.453397504;841.813590016;819.39922944
15;Convolutional;65664;105.226698752;105.226698752;409.69961472
16;Convolutional;147584;236.760072192;236.760072192;236.760072192
17;Convolutional;66048;105.226698752;105.226698752;105.226698752
18;Convolutional;65664;105.226698752;105.226698752;105.226698752
19;Convolutional;147584;236.760072192;236.760072192;236.760072192
20;Convolutional;66048;105.226698752;105.226698752;105.226698752
21;Convolutional;65664;105.226698752;105.226698752;105.226698752
22;Convolutional;147584;236.760072192;236.760072192;236.760072192
23;Convolutional;66048;105.226698752;105.226698752;105.226698752
24;Convolutional;65664;105.226698752;105.226698752;105.226698752
25;Convolutional;147584;236.760072192;236.760072192;236.760072192
26;Convolutional;66048;105.226698752;105.226698752;105.226698752
27;Convolutional;525312;210.453397504;841.813590016;797.25330432
28;Convolutional;262400;105.226698752;105.226698752;398.62665216
29;Convolutional;590080;236.760072192;236.760072192;236.760072192
30;Convolutional;263168;105.226698752;105.226698752;105.226698752
31;Convolutional;262400;105.226698752;105.226698752;105.226698752
32;Convolutional;590080;236.760072192;236.760072192;236.760072192
33;Convolutional;263168;105.226698752;105.226698752;105.226698752
34;Convolutional;262400;105.226698752;105.226698752;105.226698752
35;Convolutional;590080;236.760072192;236.760072192;236.760072192
36;Convolutional;263168;105.226698752;105.226698752;105.226698752
37;Convolutional;262400;105.226698752;105.226698752;105.226698752
38;Convolutional;590080;236.760072192;236.760072192;236.760072192
39;Convolutional;263168;105.226698752;105.226698752;105.226698752
40;Convolutional;262400;105.226698752;105.226698752;105.226698752
41;Convolutional;590080;236.760072192;236.760072192;236.760072192
42;Convolutional;263168;105.226698752;105.226698752;105.226698752
43;Convolutional;262400;105.226698752;105.226698752;105.226698752
44;Convolutional;590080;236.760072192;236.760072192;236.760072192
45;Convolutional;263168;105.226698752;105.226698752;105.226698752
46;Convolutional;2099200;210.453397504;841.813590016;753.766760448
47;Convolutional;1049088;105.226698752;105.226698752;376.883380224
48;Convolutional;2359808;236.760072192;236.760072192;236.760072192
49;Convolutional;1050624;105.226698752;105.226698752;105.226698752
50;Convolutional;1049088;105.226698752;105.226698752;105.226698752
51;Convolutional;2359808;236.760072192;236.760072192;236.760072192
52;Convolutional;1050624;105.226698752;105.226698752;105.226698752
53;Convolutional;1049088;105.226698752;105.226698752;105.226698752
54;Convolutional;2359808;236.760072192;236.760072192;236.760072192
55;Convolutional;1050624;105.226698752;105.226698752;105.226698752
56;FC;200905705;205.726416896;0;205.726416896
